iter	RMSE
0	66280.4381
1	64910.88222
2	63659.50805
3	62576.17434
4	61626.32137
5	60871.41833
6	60188.02996
7	59620.04148
8	59125.79376
9	58682.61419
10	58317.54101
11	58000.52514
12	57695.03368
13	57432.64541
14	57168.27587
15	56947.72062
16	56760.58643
17	56580.06694
18	56378.94731
19	56229.71811
20	56082.78678
21	55939.82519
22	55797.01743
23	55680.11424
24	55558.87714
25	55448.90687
26	55327.92236
27	55221.67219
28	55110.21146
29	55028.08363
30	54947.17504
31	54864.3372
32	54765.75429
33	54703.13434
34	54629.32458
35	54564.61916
36	54494.9756
37	54427.99508
38	54345.24215
39	54268.60288
40	54220.73296
41	54135.80437
42	54082.29084
43	54014.95619
44	53969.99645
45	53916.82345
46	53866.14019
47	53800.17961
48	53746.55998
49	53680.27484
50	53623.70667
51	53581.85201
52	53542.19982
53	53501.85178
54	53455.35013
55	53378.67672
56	53343.01689
57	53305.83528
58	53273.72779
59	53232.88009
60	53198.29531
61	53143.98947
62	53117.70552
63	53085.99998
64	53053.43648
65	53024.52887
66	52990.15474
67	52958.09071
68	52925.6793
69	52866.786
70	52838.14174
71	52801.61513
72	52762.60219
73	52716.67131
74	52683.27451
75	52660.09391
76	52632.19575
77	52610.87913
78	52587.78042
79	52567.30454
80	52536.48183
81	52507.36704
82	52475.10777
83	52434.26998
84	52394.61792
85	52374.57711
86	52355.98296
87	52331.58618
88	52310.12469
89	52279.73929
90	52210.50866
91	52191.33899
92	52159.23542
93	52141.20612
94	52100.07324
95	52076.1287
96	52057.49434
97	52038.2787
98	52015.88751
99	51974.15356
100	51947.04246
101	51911.25559
102	51889.06302
103	51869.7007
104	51836.55596
105	51814.61876
106	51793.07905
107	51763.94672
108	51727.2326
109	51695.76282
110	51672.06113
111	51645.9375
112	51623.15479
113	51596.21045
114	51572.69772
115	51532.98989
116	51510.6703
117	51477.02393
118	51448.15571
119	51421.62198
120	51383.33465
121	51361.39336
122	51322.55277
123	51282.33381
124	51253.73533
125	51225.71918
126	51191.69647
127	51154.83817
128	51123.53479
129	51098.0351
130	51067.45093
131	51032.95162
132	51016.25861
133	50996.9981
134	50971.32866
135	50942.92898
136	50916.25828
137	50889.3339
138	50859.96603
139	50839.20267
140	50811.17729
141	50787.63821
142	50762.48801
143	50738.41308
144	50711.81505
145	50688.82717
146	50659.76275
147	50639.05406
148	50620.39089
149	50597.58094
150	50573.16129
151	50553.29453
152	50538.28673
153	50509.9411
154	50488.32578
155	50460.16109
156	50437.10929
157	50415.90631
158	50402.53587
159	50386.82763
160	50368.31364
161	50343.08615
162	50325.07592
163	50286.96125
164	50267.06301
165	50240.93975
166	50225.1611
167	50200.74248
168	50182.01895
169	50157.60612
170	50128.98019
171	50110.76252
172	50094.72368
173	50079.1788
174	50062.82529
175	50043.76167
176	50025.65167
177	49995.04295
178	49978.89918
179	49962.96119
180	49942.68833
181	49922.35687
182	49907.40959
183	49891.55848
184	49869.00437
185	49849.3075
186	49817.11089
187	49804.30793
188	49784.42537
189	49762.59168
190	49737.52601
191	49716.69908
192	49693.93851
193	49674.39364
194	49656.56927
195	49631.57519
196	49615.32293
197	49594.68558
198	49580.95215
199	49561.61623
200	49546.05165
201	49528.9306
202	49503.53978
203	49468.19448
204	49449.23111
205	49417.02414
206	49390.50137
207	49375.56224
208	49351.80095
209	49336.00589
210	49314.38206
211	49293.61481
212	49276.19296
213	49257.32007
214	49241.46478
215	49222.09566
216	49201.71946
217	49181.82833
218	49170.02787
219	49145.82291
220	49128.80928
221	49102.07845
222	49085.40183
223	49068.08336
224	49048.28596
225	49034.69564
226	49021.24356
227	49004.97941
228	48989.60248
229	48977.34783
230	48964.06716
231	48948.72964
232	48934.66256
233	48917.12753
234	48901.20838
235	48885.75657
236	48866.88669
237	48851.5994
238	48836.82907
239	48823.78911
240	48812.05697
241	48800.63043
242	48791.79806
243	48774.12896
244	48760.03486
245	48747.88484
246	48728.46377
247	48713.68601
248	48693.88234
249	48683.61455
250	48671.77214
251	48648.71035
252	48633.48266
253	48619.04091
254	48604.35164
255	48593.44923
256	48580.86697
257	48566.19276
258	48554.54671
259	48532.37361
260	48515.02626
261	48496.22064
262	48461.90441
263	48449.68787
264	48439.38286
265	48427.12025
266	48409.98853
267	48397.38247
268	48377.15973
269	48362.13587
270	48352.03014
271	48332.31747
272	48323.69455
273	48310.433
274	48297.28682
275	48281.64681
276	48269.58796
277	48259.42558
278	48246.79638
279	48233.27562
280	48219.57881
281	48201.52268
282	48191.78886
283	48174.8215
284	48165.18275
285	48157.55003
286	48141.74818
287	48116.45274
288	48103.2311
289	48089.68951
290	48071.09662
291	48062.01132
292	48038.87131
293	48025.93418
294	48009.1928
295	47995.13079
296	47985.5139
297	47964.63247
298	47954.8616
299	47921.14776
300	47880.07737
301	47863.43397
302	47847.65132
303	47835.29565
304	47821.61832
305	47805.68195
306	47788.32816
307	47777.29502
308	47766.69795
309	47752.71627
310	47729.73485
311	47722.71153
312	47703.10473
313	47693.1207
314	47679.6103
315	47667.29517
316	47653.48659
317	47634.73266
318	47623.49791
319	47612.92554
320	47592.0053
321	47582.9631
322	47570.06677
323	47557.51305
324	47546.75436
325	47534.6717
326	47519.1266
327	47504.41177
328	47487.09814
329	47465.02695
330	47458.62046
331	47452.10229
332	47442.11802
333	47435.85469
334	47427.65929
335	47416.3447
336	47396.92585
337	47387.72424
338	47375.31931
339	47354.56593
340	47346.60394
341	47336.14156
342	47327.09121
343	47311.03646
344	47303.69995
345	47283.29067
346	47267.46009
347	47254.3306
348	47234.24005
349	47222.24396
350	47211.44585
351	47200.19143
352	47186.0266
353	47169.76951
354	47158.01358
355	47148.16009
356	47139.79789
357	47130.4963
358	47114.96687
359	47103.74399
360	47088.53632
361	47069.16942
362	47059.48536
363	47043.35042
364	47033.99451
365	47013.70316
366	46998.48847
367	46982.02623
368	46972.3661
369	46961.264
370	46949.96557
371	46939.16147
372	46925.49852
373	46917.3936
374	46905.65479
375	46893.36048
376	46885.37568
377	46875.25928
378	46862.22577
379	46851.96536
380	46840.69791
381	46823.91004
382	46813.0712
383	46783.17642
384	46771.11909
385	46755.41508
386	46737.53091
387	46725.1249
388	46714.08338
389	46702.57946
390	46686.07864
391	46678.0385
392	46666.76523
393	46655.45815
394	46648.21447
395	46633.73529
396	46610.62333
397	46601.27392
398	46591.00252
399	46579.4603
400	46560.11657
401	46550.81027
402	46542.20556
403	46530.26095
404	46508.84826
405	46499.60733
406	46483.17921
407	46472.80852
408	46464.92722
409	46455.4071
410	46447.27713
411	46432.16827
412	46424.38876
413	46411.72697
414	46401.96325
415	46387.88178
416	46379.72864
417	46363.92667
418	46356.75406
419	46346.9473
420	46336.99546
421	46309.3754
422	46299.2027
423	46285.60373
424	46270.15433
425	46262.92071
426	46252.72886
427	46237.64569
428	46220.72953
429	46210.00857
430	46197.18459
431	46184.70417
432	46179.71148
433	46173.68873
434	46167.4749
435	46153.34277
436	46142.25595
437	46130.89902
438	46123.29921
439	46105.97836
440	46093.35866
441	46084.15072
442	46065.62588
443	46054.99209
444	46044.23387
445	46025.66141
446	46015.28854
447	46000.02284
448	45989.58014
449	45978.51789
450	45969.78891
451	45954.03246
452	45944.31117
453	45938.43177
454	45924.60244
455	45918.5699
456	45911.6647
457	45899.30846
458	45884.91188
459	45875.26788
460	45864.09368
461	45853.00861
462	45843.46531
463	45826.16745
464	45810.51445
465	45801.17319
466	45787.6891
467	45780.97889
468	45769.67829
469	45764.32225
470	45756.39036
471	45746.46756
472	45733.18779
473	45719.43918
474	45708.54408
475	45692.43218
476	45682.86218
477	45674.81113
478	45662.31471
